has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
1.0,1.0,1.0,0.0,0.6453440241757485,-0.9490428892209495,0.16824228562871854,0.6114987116673115,1.0,alley,0,1190345322,1190345323,0
1.0,1.0,1.0,0.0,0.6453440241757485,-0.9490428892209495,0.16824228562871854,0.6114987116673115,1.0,alley,0,1190345323,1190345322,0
1.0,1.0,1.0,1.0,0.6516980727572903,-2.6100225115513487,0.1928439420062828,0.6140038468444343,1.0,alley,0,1190345323,1190345324,0
1.0,1.0,1.0,1.0,0.6516980727572903,-2.6100225115513487,0.1928439420062828,0.6140038468444343,1.0,alley,0,1190345324,1190345323,0
1.0,1.0,1.0,0.0,0.6356718517951647,-1.7949181980146978,-0.7290512995560087,0.6684993628092158,1.0,alley,0,1190345326,1190345313,0
1.0,1.0,1.0,1.0,0.651116796123895,-2.676807300015247,0.1928439420062828,0.6907705167356621,1.0,alley,0,1190345326,1190345332,0
1.0,1.0,1.0,0.0,0.6348945644706081,-2.173148195596412,-0.05129352933159501,0.6640172169427234,1.0,alley,0,1190345331,8317598686,0
1.0,1.0,1.0,1.0,0.651116796123895,-2.676807300015247,0.1928439420062828,0.6907705167356621,1.0,alley,0,1190345332,1190345326,0
1.0,1.0,1.0,0.0,0.6521614654572021,-2.3901190936397096,0.1928439420062828,0.6783039160531648,1.0,alley,0,1190345339,1190345318,0
1.0,1.0,1.0,1.0,0.5820155980862872,0.8488220083172284,-4.005982475679987,0.46093467952733025,1.0,residential_neighborhood,2,1193726056,7201093996,0
1.0,1.0,1.0,0.0,0.6299147550265933,-1.4938117692504143,-1.0036322218203173,0.6581063985551767,1.0,alley,0,1193726078,1193726135,0
1.0,1.0,1.0,0.0,0.6334662859591622,-1.1609070032222764,0.1928439420062828,0.5348651552542598,1.0,alley,0,1193726110,2602498179,0
1.0,1.0,1.0,0.0,0.6299147550265933,-1.4938117692504143,-1.0036322218203173,0.6581063985551767,1.0,alley,0,1193726135,1193726078,0
1.0,1.0,1.0,0.0,0.6333074465977722,-1.7833328741051429,-0.022452418727950365,0.6714310812652166,0.0,street,0,1193726151,237033494,0
1.0,1.0,1.0,0.0,0.6309907230436277,-1.2177671959364622,0.1928439420062828,0.6563996791444424,1.0,alley,0,1193726175,8374294650,0
1.0,1.0,1.0,1.0,0.49286742947138973,1.4620857865864088,0.1928439420062828,0.5008735792201858,1.0,residential_neighborhood,3,11961440147,7475238732,0
1.0,1.0,0.0,1.0,0.5817886750114896,-0.4522546330759483,0.0933177201578836,0.540629996345877,1.0,highway,3,11961440148,24080860,0
0.0,1.0,0.0,1.0,0.589500510129773,0.5970179677006722,0.1928439420062828,0.6078057241571432,1.0,highway,3,11961440148,2467729092,0
